h3_polyfill,index,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,geometry,LAT,LONG,opt_tilt
832a8dfffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-77.81678026424703 37.71236360030952, -78.46437972241239 37.38008173517523, -78.38960204211892 36.80737026208428, -77.68316385354365 36.56531355829965, -77.04114526173694 36.88932098886056, -77.09992207378818 37.463561033128634, -77.81678026424703 37.71236360030952))",37.13832688,-77.74915321,33
832aabfffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-77.2218041649326 38.62665557543465, -77.88602859567857 38.29318331754178, -77.81678026424703 37.71236360030952, -77.09992207378818 37.463561033128634, -76.44182063194287 37.78870151370383, -76.494396522905 38.37087421973938, -77.2218041649326 38.62665557543465))",38.04459887,-77.16012643,35
832a99fffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-81.90495827227049 37.38966181159207, -82.51730567420641 37.0380908907069, -82.39602229976812 36.472582946154155, -81.67748863508325 36.25573182193218, -81.06844866997488 36.59871874543619, -81.1745279110862 37.167052205290275, -81.90495827227049 37.38966181159207))",36.82227469,-81.78968968,32
832aaafffffffff,3,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,"POLYGON ((-78.02970892851182 39.46910164634319, -78.69981411751283 39.12708560115556, -78.61941821988546 38.54000205701096, -77.88602859567857 38.29318331754178, -77.2218041649326 38.62665557543465, -77.2850167275602 39.21538689141199, -78.02970892851182 39.46910164634319))",38.88065826,-77.956947,34
832a83fffffffff,4,54,1779805,0400000US54,54,WV,West Virginia,0,62266474513,489028543,"POLYGON ((-80.86316038688348 39.25671721647278, -81.50832206153967 38.90024656500459, -81.39437152786543 38.31788151711317, -80.65177495480032 38.08929821612251, -80.01080290275773 38.436980628495995, -80.10813043428563 39.02193795963682, -80.86316038688348 39.25671721647278))",38.67258439,-80.75600897,32
832a9cfffffffff,4,54,1779805,0400000US54,54,WV,West Virginia,0,62266474513,489028543,"POLYGON ((-82.26705878743627 39.12545066120517, -82.89880301993625 38.76237622077588, -82.76859156459132 38.18305456321915, -82.02277338234296 37.96367178694049, -81.39437152786543 38.31788151711317, -81.50832206153967 38.90024656500459, -82.26705878743627 39.12545066120517))",38.5441771,-82.14320308,33
832a81fffffffff,4,54,1779805,0400000US54,54,WV,West Virginia,0,62266474513,489028543,"POLYGON ((-79.45016220345619 39.37138128434728, -80.10813043428563 39.02193795963682, -80.01080290275773 38.436980628495995, -79.27234864709442 38.19924000150495, -78.61941821988546 38.54000205701096, -78.69981411751283 39.12708560115556, -79.45016220345619 39.37138128434728))",38.78485381,-79.36006103,33
832a9dfffffffff,4,54,1779805,0400000US54,54,WV,West Virginia,0,62266474513,489028543,"POLYGON ((-81.39437152786543 38.31788151711317, -82.02277338234296 37.96367178694049, -81.90495827227049 37.38966181159207, -81.1745279110862 37.167052205290275, -80.54985392691756 37.51257140742593, -80.65177495480032 38.08929821612251, -81.39437152786543 38.31788151711317))",37.7420436,-81.28294925,32
832a80fffffffff,4,54,1779805,0400000US54,54,WV,West Virginia,0,62266474513,489028543,"POLYGON ((-80.31014656201951 40.20558385007028, -80.97281170358137 39.84726423792644, -80.86316038688348 39.25671721647278, -80.10813043428563 39.02193795963682, -79.45016220345619 39.37138128434728, -79.54242045141177 39.96437928527365, -80.31014656201951 40.20558385007028))",39.61333872,-80.20773119,33
834441fffffffff,5,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,"POLYGON ((-92.18540591296302 30.901966753464283, -91.7066395361683 31.389765762886352, -91.95800539803801 32.00915070590773, -92.69640319401918 32.141715991115426, -93.17771064982074 31.65113143450283, -92.9181381363641 31.0307892980122, -92.18540591296302 30.901966753464283))",31.52162391,-92.44108648,28
